locus_tag	ftype	length_bp	gene	EC_number	COG	product
NJBCCNCG_00001	CDS	498				hypothetical protein
NJBCCNCG_00002	CDS	210				hypothetical protein
NJBCCNCG_00003	CDS	1371	trpE_1	4.1.3.27		Anthranilate synthase component 1
NJBCCNCG_00004	CDS	801				hypothetical protein
NJBCCNCG_00005	CDS	678	dedA		COG0586	Protein DedA
NJBCCNCG_00006	CDS	867	yehZ_1		COG1732	Glycine betaine-binding protein YehZ
NJBCCNCG_00007	CDS	699	opuCB_1		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
NJBCCNCG_00008	CDS	663	opuCB_2		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
NJBCCNCG_00009	CDS	819	opuCA	3.6.3.32		Carnitine transport ATP-binding protein OpuCA
NJBCCNCG_00010	CDS	645	kstR			HTH-type transcriptional repressor KstR
NJBCCNCG_00011	CDS	1065				hypothetical protein
NJBCCNCG_00012	CDS	495	amhM		COG0490	Ammonium/H(+) antiporter subunit AmhM
NJBCCNCG_00013	CDS	1164	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
NJBCCNCG_00014	CDS	408	pspE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase PspE
NJBCCNCG_00015	CDS	1035	luxA	1.14.14.3		Alkanal monooxygenase alpha chain
NJBCCNCG_00016	CDS	654	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
NJBCCNCG_00017	tRNA	74				tRNA-Ala(ggc)
NJBCCNCG_00018	CDS	390	rsfS		COG0799	Ribosomal silencing factor RsfS
NJBCCNCG_00019	CDS	753				hypothetical protein
NJBCCNCG_00020	CDS	564	nadD	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
NJBCCNCG_00021	CDS	195				hypothetical protein
NJBCCNCG_00022	CDS	1269	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
NJBCCNCG_00023	CDS	783	proB	2.7.2.11	COG0263	Glutamate 5-kinase
NJBCCNCG_00024	CDS	1506	obg	3.6.5.-	COG0536	GTPase Obg
NJBCCNCG_00025	CDS	258	rpmA		COG0211	50S ribosomal protein L27
NJBCCNCG_00026	CDS	315	rplU		COG0261	50S ribosomal protein L21
NJBCCNCG_00027	CDS	2106	rng	3.1.26.-	COG1530	Ribonuclease G
NJBCCNCG_00028	CDS	564				hypothetical protein
NJBCCNCG_00029	CDS	423	ndkA	2.7.4.6	COG0105	Nucleoside diphosphate kinase
NJBCCNCG_00030	CDS	507	lldD	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
NJBCCNCG_00031	CDS	1518	mglA_1	3.6.3.17	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
NJBCCNCG_00032	CDS	981	xylH		COG4214	Xylose transport system permease protein XylH
NJBCCNCG_00033	CDS	1002	lsrD_1			Autoinducer 2 import system permease protein LsrD
NJBCCNCG_00034	CDS	1083	lsrB			Autoinducer 2-binding protein LsrB
NJBCCNCG_00035	CDS	324	rhaM	5.1.3.32		L-rhamnose mutarotase
NJBCCNCG_00036	CDS	786				hypothetical protein
NJBCCNCG_00037	CDS	498				hypothetical protein
NJBCCNCG_00038	CDS	2346	uvrD1_1	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD1
NJBCCNCG_00039	CDS	1164	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
NJBCCNCG_00040	CDS	885	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
NJBCCNCG_00041	CDS	666				hypothetical protein
NJBCCNCG_00042	CDS	1011	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
NJBCCNCG_00043	CDS	1446	pyk	2.7.1.40	COG0469	Pyruvate kinase
NJBCCNCG_00044	tRNA	84				tRNA-Leu(caa)
NJBCCNCG_00045	CDS	621	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
NJBCCNCG_00046	CDS	432	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
NJBCCNCG_00047	CDS	2646	polA	2.7.7.7		DNA polymerase I
NJBCCNCG_00048	CDS	1467	rpsA		COG0539	30S ribosomal protein S1
NJBCCNCG_00049	CDS	651	coaE	2.7.1.24		Dephospho-CoA kinase
NJBCCNCG_00050	CDS	2049	uvrB		COG0556	UvrABC system protein B
NJBCCNCG_00051	CDS	564				hypothetical protein
NJBCCNCG_00052	CDS	303				hypothetical protein
NJBCCNCG_00053	CDS	981	lcpA		COG1316	Cell wall biosynthesis protein LcpA
NJBCCNCG_00054	tRNA	90				tRNA-Ser(gct)
NJBCCNCG_00055	CDS	2238				hypothetical protein
NJBCCNCG_00056	CDS	300				Membrane-associated protein
NJBCCNCG_00057	CDS	990				hypothetical protein
NJBCCNCG_00058	CDS	1278	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
NJBCCNCG_00059	CDS	1644	stp			Multidrug resistance protein Stp
NJBCCNCG_00060	tRNA	76				tRNA-Arg(acg)
NJBCCNCG_00061	CDS	396	tatD	3.1.-.-	COG0084	putative metal-dependent hydrolase TatD
NJBCCNCG_00062	CDS	894	ksgA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
NJBCCNCG_00063	CDS	957				hypothetical protein
NJBCCNCG_00064	CDS	945	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
NJBCCNCG_00065	CDS	525	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
NJBCCNCG_00066	CDS	501	nicR		COG1846	HTH-type transcriptional repressor NicR
NJBCCNCG_00067	tRNA	75				tRNA-Gln(ttg)
NJBCCNCG_00068	CDS	1449	glmU		COG1207	Bifunctional protein GlmU
NJBCCNCG_00069	CDS	978	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
NJBCCNCG_00070	CDS	279				hypothetical protein
NJBCCNCG_00071	CDS	1326			COG0531	putative transporter
NJBCCNCG_00072	CDS	645	rplY		COG1825	50S ribosomal protein L25
NJBCCNCG_00073	CDS	576	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
NJBCCNCG_00074	CDS	3543	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
NJBCCNCG_00075	CDS	666	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
NJBCCNCG_00076	CDS	1269	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
NJBCCNCG_00077	CDS	1278	eno	4.2.1.11	COG0148	Enolase
NJBCCNCG_00078	CDS	516	ftsL			Cell division protein FtsL
NJBCCNCG_00079	CDS	495				hypothetical protein
NJBCCNCG_00080	CDS	1236	isp	3.4.21.-	COG1404	Intracellular serine protease
NJBCCNCG_00081	CDS	1350	ndbB	1.6.5.12		Demethylphylloquinone reductase NdbB
NJBCCNCG_00082	tRNA	76				tRNA-Leu(taa)
NJBCCNCG_00083	CDS	567	lemA		COG1704	Protein LemA
NJBCCNCG_00084	CDS	888	htpX	3.4.24.-	COG0501	Protease HtpX 
NJBCCNCG_00085	CDS	1080			COG0628	Putative transport protein
