locus_tag	ftype	length_bp	gene	EC_number	COG	product
DFFCLFAJ_00001	CDS	1617				hypothetical protein
DFFCLFAJ_00002	CDS	855	rdpA	1.14.11.44		(R)-phenoxypropionate/alpha-ketoglutarate-dioxygenase
DFFCLFAJ_00003	CDS	2070	quiA	1.1.5.8	COG4993	Quinate/shikimate dehydrogenase (quinone)
DFFCLFAJ_00004	CDS	468	prdB_1	1.21.4.1		D-proline reductase subunit gamma
DFFCLFAJ_00005	CDS	708				hypothetical protein
DFFCLFAJ_00006	CDS	849	sdpA_1	1.14.11.43		(S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase
DFFCLFAJ_00007	CDS	621				hypothetical protein
DFFCLFAJ_00008	CDS	1437	otemo	1.14.13.160		2-oxo-Delta(3)-4,5,5-trimethylcyclopentenylacetyl-CoA monooxygenase
DFFCLFAJ_00009	CDS	240	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
DFFCLFAJ_00010	CDS	870		1.-.-.-		Putative coenzyme F420-dependent oxidoreductase
DFFCLFAJ_00011	CDS	510	hsaB	1.5.1.36	COG1853	Flavin-dependent monooxygenase, reductase subunit HsaB
DFFCLFAJ_00012	CDS	1194		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
DFFCLFAJ_00013	CDS	432				hypothetical protein
DFFCLFAJ_00014	CDS	591	lemA		COG1704	Protein LemA
DFFCLFAJ_00015	CDS	1893	htpX	3.4.24.-	COG0501	Protease HtpX 
DFFCLFAJ_00016	CDS	726	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
DFFCLFAJ_00017	CDS	951	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
DFFCLFAJ_00018	CDS	375				hypothetical protein
DFFCLFAJ_00019	CDS	1107	carC_1	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
DFFCLFAJ_00020	CDS	333				hypothetical protein
DFFCLFAJ_00021	CDS	600	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
DFFCLFAJ_00022	CDS	777			COG5285	putative protein
DFFCLFAJ_00023	CDS	438				hypothetical protein
DFFCLFAJ_00024	CDS	1365	yhdG		COG0531	putative amino acid permease YhdG
DFFCLFAJ_00025	CDS	1557	panF		COG4145	Sodium/pantothenate symporter
DFFCLFAJ_00026	CDS	636	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
DFFCLFAJ_00027	CDS	501				hypothetical protein
DFFCLFAJ_00028	CDS	618	mshD_1	2.3.1.189		Mycothiol acetyltransferase
DFFCLFAJ_00029	CDS	1128				hypothetical protein
DFFCLFAJ_00030	CDS	933	nirQ		COG0714	Denitrification regulatory protein NirQ
DFFCLFAJ_00031	CDS	2019				hypothetical protein
DFFCLFAJ_00032	CDS	183				hypothetical protein
DFFCLFAJ_00033	CDS	675	yccA		COG0670	Modulator of FtsH protease YccA
DFFCLFAJ_00034	CDS	972	dgoK1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
DFFCLFAJ_00035	CDS	645	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
DFFCLFAJ_00036	CDS	951	folE2	3.5.4.16	COG1469	GTP cyclohydrolase FolE2
DFFCLFAJ_00037	CDS	186				hypothetical protein
DFFCLFAJ_00038	CDS	1293	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
DFFCLFAJ_00039	CDS	1167	hisZ		COG3705	ATP phosphoribosyltransferase regulatory subunit
DFFCLFAJ_00040	CDS	879	hflC		COG0330	Modulator of FtsH protease HflC
DFFCLFAJ_00041	CDS	1143	hflK		COG0330	Modulator of FtsH protease HflK
DFFCLFAJ_00042	CDS	1269	hflX		COG2262	GTPase HflX
DFFCLFAJ_00043	CDS	237	hfq			RNA-binding protein Hfq
DFFCLFAJ_00044	CDS	1038	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
DFFCLFAJ_00045	CDS	1896	mutL			DNA mismatch repair protein MutL
DFFCLFAJ_00046	CDS	1356	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
DFFCLFAJ_00047	CDS	459	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
DFFCLFAJ_00048	CDS	1533	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
DFFCLFAJ_00049	CDS	1038	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
DFFCLFAJ_00050	CDS	561	orn	3.1.-.-	COG1949	Oligoribonuclease
DFFCLFAJ_00051	CDS	855	rhdA	2.8.1.1	COG2897	Thiosulfate sulfurtransferase
DFFCLFAJ_00052	CDS	825	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
DFFCLFAJ_00053	CDS	477	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
DFFCLFAJ_00054	CDS	771	dpgD_1	4.2.1.17		Enoyl-CoA-hydratase
DFFCLFAJ_00055	CDS	615	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
DFFCLFAJ_00056	CDS	1236	gltP_1		COG1301	Proton/glutamate-aspartate symporter
DFFCLFAJ_00057	CDS	234				hypothetical protein
DFFCLFAJ_00058	CDS	1632	ilvI_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
DFFCLFAJ_00059	CDS	942				hypothetical protein
DFFCLFAJ_00060	CDS	957				hypothetical protein
DFFCLFAJ_00061	CDS	1278			COG1680	putative protein
DFFCLFAJ_00062	CDS	1467	yagG_1		COG2211	Putative glycoside/cation symporter YagG
DFFCLFAJ_00063	CDS	1260	eis	2.3.1.-	COG4552	N-acetyltransferase Eis
DFFCLFAJ_00064	CDS	1047				hypothetical protein
DFFCLFAJ_00065	CDS	453				hypothetical protein
DFFCLFAJ_00066	CDS	1170	carC_2	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
DFFCLFAJ_00067	CDS	1260		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
DFFCLFAJ_00068	CDS	1236	smtA	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase alpha subunit
DFFCLFAJ_00069	CDS	828	paaG_1	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
DFFCLFAJ_00070	CDS	1173		1.1.2.-	COG0277	L-gulono-1,4-lactone dehydrogenase
DFFCLFAJ_00071	CDS	1173				hypothetical protein
DFFCLFAJ_00072	CDS	708				hypothetical protein
DFFCLFAJ_00073	CDS	465				hypothetical protein
DFFCLFAJ_00074	CDS	612				hypothetical protein
DFFCLFAJ_00075	CDS	1113	pkn1	2.7.11.1	COG0515	Serine/threonine-protein kinase pkn1
DFFCLFAJ_00076	CDS	372				hypothetical protein
DFFCLFAJ_00077	CDS	804				hypothetical protein
DFFCLFAJ_00078	CDS	1251				hypothetical protein
DFFCLFAJ_00079	CDS	1089				hypothetical protein
DFFCLFAJ_00080	CDS	180				hypothetical protein
DFFCLFAJ_00081	CDS	987				hypothetical protein
DFFCLFAJ_00082	CDS	1158	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
DFFCLFAJ_00083	CDS	801	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
DFFCLFAJ_00084	CDS	1125	dnaJ		COG0484	Chaperone protein DnaJ
DFFCLFAJ_00085	CDS	1920	dnaK_1		COG0443	Chaperone protein DnaK
DFFCLFAJ_00086	CDS	591	grpE			Protein GrpE
DFFCLFAJ_00087	CDS	546			COG2141	putative protein
DFFCLFAJ_00088	CDS	252				hypothetical protein
DFFCLFAJ_00089	CDS	612	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
DFFCLFAJ_00090	CDS	1575		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD17
DFFCLFAJ_00091	CDS	213				hypothetical protein
DFFCLFAJ_00092	CDS	357				hypothetical protein
DFFCLFAJ_00093	CDS	618		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
DFFCLFAJ_00094	CDS	351	yfgD		COG1393	putative protein YfgD
DFFCLFAJ_00095	CDS	1245				hypothetical protein
DFFCLFAJ_00096	CDS	510	resA		COG0526	Thiol-disulfide oxidoreductase ResA
DFFCLFAJ_00097	CDS	1821	proS	6.1.1.15	COG0442	Proline--tRNA ligase
DFFCLFAJ_00098	CDS	570	hup		COG0776	DNA-binding protein HB1
DFFCLFAJ_00099	CDS	249				hypothetical protein
DFFCLFAJ_00100	CDS	1782	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
DFFCLFAJ_00101	CDS	738	pmpR		COG0217	Transcriptional regulatory protein PmpR
DFFCLFAJ_00102	CDS	492	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
DFFCLFAJ_00103	CDS	651	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
DFFCLFAJ_00104	CDS	1053	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
DFFCLFAJ_00105	CDS	252	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
DFFCLFAJ_00106	CDS	1281	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
DFFCLFAJ_00107	CDS	2430	lon_1	3.4.21.53	COG0466	Lon protease
DFFCLFAJ_00108	CDS	660	fadB_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase
DFFCLFAJ_00109	CDS	375				hypothetical protein
DFFCLFAJ_00110	CDS	1044	icd_1	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
DFFCLFAJ_00111	CDS	1047				hypothetical protein
DFFCLFAJ_00112	CDS	1362	yihN			Inner membrane protein YihN
DFFCLFAJ_00113	CDS	783		1.-.-.-		putative oxidoreductase
DFFCLFAJ_00114	CDS	2247	atsA_1	3.1.6.1	COG3119	Arylsulfatase
DFFCLFAJ_00115	CDS	2307				hypothetical protein
DFFCLFAJ_00116	CDS	1833				hypothetical protein
DFFCLFAJ_00117	CDS	1146			COG1680	putative protein
DFFCLFAJ_00118	CDS	288	feoA		COG1918	Fe(2+) transport protein A
DFFCLFAJ_00119	CDS	2118	feoB		COG0370	Fe(2+) transporter FeoB
DFFCLFAJ_00120	CDS	732	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
DFFCLFAJ_00121	CDS	750				hypothetical protein
DFFCLFAJ_00122	CDS	678				hypothetical protein
DFFCLFAJ_00123	CDS	795	paaG_2	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
