locus_tag	ftype	length_bp	gene	EC_number	COG	product
LAOGFJKF_00001	tRNA	78				tRNA-Asp(gtc)
LAOGFJKF_00002	tRNA	75				tRNA-Lys(ttt)
LAOGFJKF_00003	CDS	1461	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
LAOGFJKF_00004	CDS	324				hypothetical protein
LAOGFJKF_00005	CDS	780	tfrB	1.3.4.1	COG0247	Fumarate reductase (CoM/CoB) subunit B
LAOGFJKF_00006	CDS	354				hypothetical protein
LAOGFJKF_00007	CDS	441				hypothetical protein
LAOGFJKF_00008	CDS	1713	tfrA	1.3.4.1	COG1053	Fumarate reductase (CoM/CoB) subunit A
LAOGFJKF_00009	CDS	486				hypothetical protein
LAOGFJKF_00010	CDS	858	aceA	4.1.3.1	COG2513	Isocitrate lyase
LAOGFJKF_00011	CDS	288	albA		COG1581	DNA/RNA-binding protein Alba
LAOGFJKF_00012	CDS	534				hypothetical protein
LAOGFJKF_00013	tRNA	77				tRNA-Ala(ggc)
LAOGFJKF_00014	CDS	906	nqrF	1.6.5.8		Na(+)-translocating NADH-quinone reductase subunit F
LAOGFJKF_00015	CDS	597		2.7.7.1		Nicotinamide-nucleotide adenylyltransferase
LAOGFJKF_00016	CDS	915	ilvE_1	2.6.1.42	COG0115	Putative branched-chain-amino-acid aminotransferase
LAOGFJKF_00017	CDS	960		1.1.1.374	COG0673	UDP-N-acetylglucosamine 3-dehydrogenase
LAOGFJKF_00018	CDS	270				hypothetical protein
LAOGFJKF_00019	CDS	489	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
LAOGFJKF_00020	CDS	519				hypothetical protein
LAOGFJKF_00021	CDS	1542				hypothetical protein
LAOGFJKF_00022	CDS	453				hypothetical protein
LAOGFJKF_00023	CDS	564	tbp_1			TATA-box-binding protein
LAOGFJKF_00024	CDS	393				hypothetical protein
LAOGFJKF_00025	CDS	663	tal	2.2.1.2	COG0176	putative transaldolase
LAOGFJKF_00026	CDS	969	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
LAOGFJKF_00027	CDS	1668	dxs_2	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
LAOGFJKF_00028	CDS	387				hypothetical protein
LAOGFJKF_00029	CDS	1482	pepA	3.4.11.10		cytosol aminopeptidase
LAOGFJKF_00030	CDS	198				hypothetical protein
LAOGFJKF_00031	CDS	990	mraY	2.7.8.13		Phospho-N-acetylmuramoyl-pentapeptide-transferase
LAOGFJKF_00032	CDS	1002		3.6.4.12	COG1204	ATP-dependent DNA helicase Hel308
LAOGFJKF_00033	CDS	192				hypothetical protein
LAOGFJKF_00034	CDS	660				hypothetical protein
LAOGFJKF_00035	CDS	516				hypothetical protein
LAOGFJKF_00036	CDS	243				hypothetical protein
LAOGFJKF_00037	CDS	294	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
LAOGFJKF_00038	CDS	387				hypothetical protein
LAOGFJKF_00039	CDS	834	dnaJ_1			Chaperone protein DnaJ
LAOGFJKF_00040	CDS	255				hypothetical protein
LAOGFJKF_00041	CDS	1713				hypothetical protein
LAOGFJKF_00042	CDS	723	lon	3.4.21.53		Lon protease
LAOGFJKF_00043	CDS	516				hypothetical protein
LAOGFJKF_00044	CDS	1008		6.3.4.15	COG0340	Putative biotin ligase
LAOGFJKF_00045	CDS	1506				hypothetical protein
LAOGFJKF_00046	CDS	579	dps	1.16.-.-	COG2406	DNA protection during starvation protein
LAOGFJKF_00047	CDS	897	tfb_1		COG1405	Transcription initiation factor IIB
LAOGFJKF_00048	CDS	558				hypothetical protein
LAOGFJKF_00049	CDS	306				hypothetical protein
LAOGFJKF_00050	CDS	291				hypothetical protein
LAOGFJKF_00051	CDS	195				hypothetical protein
LAOGFJKF_00052	CDS	267				hypothetical protein
LAOGFJKF_00053	CDS	1311	aspS_1	6.1.1.23	COG0017	Aspartate--tRNA(Asp/Asn) ligase
LAOGFJKF_00054	CDS	207				hypothetical protein
LAOGFJKF_00055	CDS	1008	purP_1	6.3.4.23	COG1759	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase
LAOGFJKF_00056	CDS	417				hypothetical protein
LAOGFJKF_00057	CDS	435				hypothetical protein
LAOGFJKF_00058	CDS	387				hypothetical protein
LAOGFJKF_00059	CDS	336				hypothetical protein
LAOGFJKF_00060	CDS	213				hypothetical protein
LAOGFJKF_00061	CDS	651				hypothetical protein
LAOGFJKF_00062	CDS	1278	prf1		COG1503	Peptide chain release factor subunit 1
LAOGFJKF_00063	CDS	405				hypothetical protein
LAOGFJKF_00064	CDS	600				hypothetical protein
LAOGFJKF_00065	CDS	1680	ilvD	4.2.1.9		Dihydroxy-acid dehydratase
LAOGFJKF_00066	CDS	207				hypothetical protein
LAOGFJKF_00067	CDS	1176	argG	6.3.4.5		Argininosuccinate synthase
LAOGFJKF_00068	CDS	1032				hypothetical protein
LAOGFJKF_00069	CDS	756	malK_1	3.6.3.19		Trehalose/maltose import ATP-binding protein MalK
LAOGFJKF_00070	CDS	759				hypothetical protein
LAOGFJKF_00071	CDS	1128				hypothetical protein
LAOGFJKF_00072	CDS	555	nudL	3.6.1.-		putative Nudix hydrolase NudL
LAOGFJKF_00073	CDS	471				hypothetical protein
LAOGFJKF_00074	CDS	1026				hypothetical protein
LAOGFJKF_00075	CDS	303				hypothetical protein
LAOGFJKF_00076	CDS	300	arsR			Putative arsenical resistance operon repressor ArsR
LAOGFJKF_00077	CDS	408	arsC	1.20.4.-		Putative arsenate reductase
LAOGFJKF_00078	CDS	687	aqpM_1		COG0580	putative aquaporin AqpM
LAOGFJKF_00079	CDS	237				hypothetical protein
LAOGFJKF_00080	CDS	387				hypothetical protein
LAOGFJKF_00081	CDS	885	garR	1.1.1.60		2-hydroxy-3-oxopropionate reductase
LAOGFJKF_00082	CDS	3534	smc_1		COG1196	Chromosome partition protein Smc
LAOGFJKF_00083	CDS	1095				hypothetical protein
LAOGFJKF_00084	CDS	483				hypothetical protein
LAOGFJKF_00085	CDS	246				hypothetical protein
LAOGFJKF_00086	CDS	231				hypothetical protein
LAOGFJKF_00087	CDS	408				hypothetical protein
LAOGFJKF_00088	CDS	522			COG0655	Iron-sulfur flavoprotein
LAOGFJKF_00089	tRNA	77				tRNA-Arg(cct)
LAOGFJKF_00090	CDS	711	fbiB	6.3.2.34		Coenzyme F420:L-glutamate ligase
LAOGFJKF_00091	tRNA	76				tRNA-Val(gac)
LAOGFJKF_00092	CDS	495				hypothetical protein
LAOGFJKF_00093	CDS	501				hypothetical protein
LAOGFJKF_00094	CDS	495		2.7.7.1	COG1056	Nicotinamide-nucleotide adenylyltransferase
LAOGFJKF_00095	CDS	1140	phnW	2.6.1.37		2-aminoethylphosphonate--pyruvate transaminase
