locus_tag	ftype	length_bp	gene	EC_number	COG	product
AGBCBMFN_00001	CDS	1035	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
AGBCBMFN_00002	CDS	2001	apc3_1	6.4.1.8	COG0145	Acetophenone carboxylase gamma subunit
AGBCBMFN_00003	tRNA	77				tRNA-Met(cat)
AGBCBMFN_00004	CDS	672				hypothetical protein
AGBCBMFN_00005	CDS	1329	bamB		COG1520	Outer membrane protein assembly factor BamB
AGBCBMFN_00006	CDS	663				hypothetical protein
AGBCBMFN_00007	CDS	1338	mdtA			Multidrug resistance protein MdtA
AGBCBMFN_00008	CDS	3600	ttgE			Toluene efflux pump membrane transporter TtgE
AGBCBMFN_00009	CDS	1833	atm1_1		COG5265	ATM1-type heavy metal exporter
AGBCBMFN_00010	CDS	1809	ygaU		COG1652	putative protein YgaU
AGBCBMFN_00011	CDS	840	nit1	3.5.1.-		Deaminated glutathione amidase
AGBCBMFN_00012	CDS	261	grxC		COG0695	Glutaredoxin 3
AGBCBMFN_00013	CDS	735				hypothetical protein
AGBCBMFN_00014	CDS	834				hypothetical protein
AGBCBMFN_00015	CDS	1065	hemH	4.99.1.1	COG0276	Ferrochelatase
AGBCBMFN_00016	CDS	1044	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
AGBCBMFN_00017	CDS	429				hypothetical protein
AGBCBMFN_00018	CDS	1029				hypothetical protein
AGBCBMFN_00019	CDS	666	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
AGBCBMFN_00020	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
AGBCBMFN_00021	CDS	816	rhlG	1.1.1.100		Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase
AGBCBMFN_00022	CDS	612	rnd_1	3.1.13.5	COG0349	Ribonuclease D
AGBCBMFN_00023	CDS	606				hypothetical protein
AGBCBMFN_00024	CDS	486	lptA		COG1934	Lipopolysaccharide export system protein LptA
AGBCBMFN_00025	CDS	1863	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
AGBCBMFN_00026	CDS	1287	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
AGBCBMFN_00027	CDS	1272	rho	3.6.4.-	COG1158	Transcription termination factor Rho
AGBCBMFN_00028	CDS	450				hypothetical protein
AGBCBMFN_00029	CDS	600	yceF		COG0424	Maf-like protein YceF
AGBCBMFN_00030	CDS	834	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
AGBCBMFN_00031	CDS	555	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
AGBCBMFN_00032	CDS	714	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
AGBCBMFN_00033	CDS	504	secB		COG1952	Protein-export protein SecB
AGBCBMFN_00034	CDS	483				hypothetical protein
AGBCBMFN_00035	CDS	654				hypothetical protein
AGBCBMFN_00036	CDS	612	mutS2	3.1.-.-		Endonuclease MutS2
AGBCBMFN_00037	CDS	483	coxS_1	1.2.5.3		Carbon monoxide dehydrogenase small chain
AGBCBMFN_00038	CDS	2373	cutL_1	1.2.5.3		Carbon monoxide dehydrogenase large chain
AGBCBMFN_00039	CDS	786	coxM_1	1.2.5.3		Carbon monoxide dehydrogenase medium chain
AGBCBMFN_00040	CDS	828	dapD	2.3.1.117		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
AGBCBMFN_00041	CDS	348				hypothetical protein
AGBCBMFN_00042	CDS	648		3.1.3.5	COG0546	5'-nucleotidase
AGBCBMFN_00043	CDS	1146	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
AGBCBMFN_00044	CDS	186	parB			Chromosome-partitioning protein ParB
AGBCBMFN_00045	CDS	354	ybaN		COG2832	Inner membrane protein YbaN
