locus_tag	ftype	length_bp	gene	EC_number	COG	product
LDLKFBKJ_00001	CDS	1635				hypothetical protein
LDLKFBKJ_00002	CDS	240				hypothetical protein
LDLKFBKJ_00003	CDS	2226	vat		COG0464	VCP-like ATPase
LDLKFBKJ_00004	CDS	1629		1.2.1.26		Alpha-ketoglutarate semialdehyde dehydrogenase
LDLKFBKJ_00005	CDS	771	rbn_1	3.1.26.11		Ribonuclease BN
LDLKFBKJ_00006	CDS	1242	cdc6		COG1474	ORC1-type DNA replication protein
LDLKFBKJ_00007	CDS	567				hypothetical protein
LDLKFBKJ_00008	CDS	1125	aglE	2.4.1.-	COG0463	Glycosyltransferase AglE
LDLKFBKJ_00009	CDS	1020	coaD_1	2.7.7.3	COG1019	Phosphopantetheine adenylyltransferase
LDLKFBKJ_00010	CDS	2544				hypothetical protein
LDLKFBKJ_00011	CDS	330				hypothetical protein
LDLKFBKJ_00012	CDS	1275	ahcY	3.3.1.1		Adenosylhomocysteinase
LDLKFBKJ_00013	CDS	930		2.2.1.11	COG1830	Fructose-bisphosphate aldolase/6-deoxy-5-ketofructose 1-phosphate synthase
LDLKFBKJ_00014	CDS	1071				hypothetical protein
LDLKFBKJ_00015	CDS	636	tpm	2.1.1.67		Thiopurine S-methyltransferase
LDLKFBKJ_00016	CDS	867		4.2.1.116	COG1024	3-hydroxypropionyl-coenzyme A dehydratase
LDLKFBKJ_00017	CDS	1257				hypothetical protein
LDLKFBKJ_00018	CDS	447	moaE	2.8.1.-	COG0314	putative molybdopterin synthase
LDLKFBKJ_00019	CDS	450	moaC	4.6.1.17	COG0315	putative cyclic pyranopterin monophosphate synthase
LDLKFBKJ_00020	CDS	1572				hypothetical protein
LDLKFBKJ_00021	CDS	645				hypothetical protein
LDLKFBKJ_00022	CDS	255				hypothetical protein
LDLKFBKJ_00023	CDS	294				hypothetical protein
LDLKFBKJ_00024	CDS	633				hypothetical protein
LDLKFBKJ_00025	CDS	867				hypothetical protein
LDLKFBKJ_00026	CDS	1323				hypothetical protein
