locus_tag	ftype	length_bp	gene	EC_number	COG	product
CLBEIFOI_00001	CDS	1134	adh1	1.1.1.192	COG1454	Long-chain-alcohol dehydrogenase 1
CLBEIFOI_00002	CDS	1275	pphA	3.11.1.3		Phosphonopyruvate hydrolase
CLBEIFOI_00003	CDS	588				hypothetical protein
CLBEIFOI_00004	CDS	462	yqeY		COG1610	putative protein YqeY
CLBEIFOI_00005	CDS	1164	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
CLBEIFOI_00006	CDS	1881		2.4.1.336	COG1215	Beta-monoglucosyldiacylglycerol synthase
CLBEIFOI_00007	CDS	642	mcbR_1		COG1802	HTH-type transcriptional regulator McbR
CLBEIFOI_00008	CDS	645				hypothetical protein
CLBEIFOI_00009	CDS	1215	ubiF	1.14.13.-	COG0654	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
CLBEIFOI_00010	CDS	1128		1.12.-.-		Soluble hydrogenase 42 kDa subunit
CLBEIFOI_00011	CDS	471	decR_1		COG1522	DNA-binding transcriptional activator DecR
CLBEIFOI_00012	CDS	456	decR_2		COG1522	DNA-binding transcriptional activator DecR
CLBEIFOI_00013	CDS	1023	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
CLBEIFOI_00014	CDS	921				hypothetical protein
CLBEIFOI_00015	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
CLBEIFOI_00016	CDS	1020	folP	2.5.1.15	COG0294	Dihydropteroate synthase
CLBEIFOI_00017	CDS	1014				hypothetical protein
CLBEIFOI_00018	CDS	672	sleB		COG3409	Spore cortex-lytic enzyme
CLBEIFOI_00019	CDS	2556	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
CLBEIFOI_00020	CDS	2112	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
CLBEIFOI_00021	CDS	528				hypothetical protein
CLBEIFOI_00022	CDS	843	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
CLBEIFOI_00023	CDS	1770				hypothetical protein
CLBEIFOI_00024	CDS	1557	aruI	4.1.1.75	COG0028	putative 2-ketoarginine decarboxylase AruI
