locus_tag	ftype	length_bp	gene	EC_number	COG	product
GMCMGICM_00001	CDS	1887	htpG_1		COG0326	Chaperone protein HtpG
GMCMGICM_00002	CDS	1533	sglT_1			Sodium/glucose cotransporter
GMCMGICM_00003	CDS	618	recR_1		COG0353	Recombination protein RecR
GMCMGICM_00004	CDS	1122	wbbL_1	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
GMCMGICM_00005	CDS	1272	sucB_1	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
GMCMGICM_00006	CDS	612	ycgM_1		COG0179	putative protein YcgM
GMCMGICM_00007	CDS	474	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
GMCMGICM_00008	CDS	237	rpmB_1		COG0227	50S ribosomal protein L28
GMCMGICM_00009	CDS	183	rpmG1_1		COG0267	50S ribosomal protein L33 1
GMCMGICM_00010	CDS	153				hypothetical protein
GMCMGICM_00011	CDS	1179	ftsY		COG0552	Signal recognition particle receptor FtsY
GMCMGICM_00012	CDS	1302	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
GMCMGICM_00013	CDS	2469				hypothetical protein
GMCMGICM_00014	CDS	1599	bshC	6.-.-.-	COG4365	Putative cysteine ligase BshC
GMCMGICM_00015	CDS	1533	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
GMCMGICM_00016	CDS	1401				hypothetical protein
GMCMGICM_00017	CDS	1614	pyrG_1	6.3.4.2		CTP synthase
GMCMGICM_00018	CDS	1842	yidC_1		COG0706	Membrane protein insertase YidC
GMCMGICM_00019	CDS	1545	pgpH_1	3.1.4.-		Cyclic-di-AMP phosphodiesterase PgpH
GMCMGICM_00020	tRNA	87				tRNA-Ser(gct)
GMCMGICM_00021	tRNA	76				tRNA-Pro(tgg)
GMCMGICM_00022	tRNA	77				tRNA-Arg(tct)
GMCMGICM_00023	CDS	132				hypothetical protein
GMCMGICM_00024	CDS	1194	kbl_1	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
GMCMGICM_00025	CDS	960				putative epimerase/dehydratase
GMCMGICM_00026	CDS	762				hypothetical protein
GMCMGICM_00027	CDS	1062			COG0628	Putative transport protein
GMCMGICM_00028	CDS	708	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
GMCMGICM_00029	CDS	1020	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
GMCMGICM_00030	CDS	987	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase 1
GMCMGICM_00031	CDS	1002	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
GMCMGICM_00032	CDS	855				hypothetical protein
GMCMGICM_00033	CDS	381	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
GMCMGICM_00034	CDS	2661	lptD_1			LPS-assembly protein LptD
GMCMGICM_00035	CDS	1080	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
GMCMGICM_00036	CDS	927				hypothetical protein
GMCMGICM_00037	CDS	1317	fadF_1	1.-.-.-	COG0247	putative iron-sulfur-binding oxidoreductase FadF
GMCMGICM_00038	CDS	450				hypothetical protein
GMCMGICM_00039	CDS	792	fadF_2	1.-.-.-	COG0247	putative iron-sulfur-binding oxidoreductase FadF
GMCMGICM_00040	CDS	480				hypothetical protein
GMCMGICM_00041	CDS	2916	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
GMCMGICM_00042	CDS	1137	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
GMCMGICM_00043	CDS	1401		3.2.1.-		Glycosyl hydrolase family 109 protein 1
GMCMGICM_00044	CDS	354				hypothetical protein
GMCMGICM_00045	CDS	894				hypothetical protein
GMCMGICM_00046	CDS	1398		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
GMCMGICM_00047	CDS	1260	gltP		COG1301	Proton/glutamate-aspartate symporter
GMCMGICM_00048	CDS	666	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
GMCMGICM_00049	CDS	849	udp	2.4.2.3	COG2820	Uridine phosphorylase
GMCMGICM_00050	CDS	324				hypothetical protein
GMCMGICM_00051	CDS	951				hypothetical protein
GMCMGICM_00052	CDS	201				hypothetical protein
GMCMGICM_00053	CDS	366				hypothetical protein
GMCMGICM_00054	CDS	624				hypothetical protein
GMCMGICM_00055	CDS	1251	umuC		COG0389	Protein UmuC
GMCMGICM_00056	CDS	438	umuD	3.4.21.-	COG1974	Protein UmuD
GMCMGICM_00057	CDS	243				hypothetical protein
GMCMGICM_00058	CDS	258				hypothetical protein
GMCMGICM_00059	CDS	426				hypothetical protein
GMCMGICM_00060	CDS	582				hypothetical protein
GMCMGICM_00061	CDS	1044	xerC_1			Tyrosine recombinase XerC
GMCMGICM_00062	CDS	1371	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
GMCMGICM_00063	CDS	453	rplI		COG0359	50S ribosomal protein L9
GMCMGICM_00064	CDS	297	rpsR			30S ribosomal protein S18
GMCMGICM_00065	CDS	393	rpsF		COG0360	30S ribosomal protein S6
GMCMGICM_00066	CDS	687	ypdB		COG3279	Transcriptional regulatory protein YpdB
GMCMGICM_00067	CDS	2451	priA	3.6.4.-	COG1198	Primosomal protein N'
