locus_tag	ftype	length_bp	gene	EC_number	COG	product
PEGAMLPK_00001	CDS	477	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
PEGAMLPK_00002	CDS	966	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
PEGAMLPK_00003	CDS	1119				hypothetical protein
PEGAMLPK_00004	CDS	1890	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
PEGAMLPK_00005	CDS	1449	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
PEGAMLPK_00006	CDS	1260	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
PEGAMLPK_00007	tRNA	77				tRNA-Arg(acg)
PEGAMLPK_00008	CDS	585	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
PEGAMLPK_00009	tRNA	76				tRNA-Gly(gcc)
PEGAMLPK_00010	tRNA	74				tRNA-Cys(gca)
PEGAMLPK_00011	CDS	558	resA_1			Thiol-disulfide oxidoreductase ResA
PEGAMLPK_00012	CDS	555				hypothetical protein
PEGAMLPK_00013	CDS	579	rbr		COG1592	Rubrerythrin
PEGAMLPK_00014	CDS	330				hypothetical protein
PEGAMLPK_00015	CDS	1197	argG	6.3.4.5	COG0137	Argininosuccinate synthase
PEGAMLPK_00016	CDS	393				hypothetical protein
PEGAMLPK_00017	CDS	450				hypothetical protein
PEGAMLPK_00018	CDS	2088	esiB_1			Secretory immunoglobulin A-binding protein EsiB
PEGAMLPK_00019	CDS	885	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
PEGAMLPK_00020	CDS	564	efp		COG0231	Elongation factor P
PEGAMLPK_00021	CDS	1161	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
PEGAMLPK_00022	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
PEGAMLPK_00023	CDS	768				hypothetical protein
PEGAMLPK_00024	CDS	330	trxA_1			Thioredoxin 1
PEGAMLPK_00025	CDS	357				hypothetical protein
PEGAMLPK_00026	CDS	1017	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
PEGAMLPK_00027	CDS	609	rnfG		COG4659	Electron transport complex subunit RnfG
PEGAMLPK_00028	CDS	945	rsxD		COG4658	Electron transport complex subunit RsxD
PEGAMLPK_00029	CDS	1509	rsxC		COG4656	Electron transport complex subunit RsxC
PEGAMLPK_00030	CDS	543	rsxB		COG2878	Electron transport complex subunit RsxB
PEGAMLPK_00031	CDS	579	rsxA		COG4657	Electron transport complex subunit RsxA
PEGAMLPK_00032	CDS	738				hypothetical protein
PEGAMLPK_00033	CDS	1329	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
PEGAMLPK_00034	CDS	816	folP	2.5.1.15	COG0294	Dihydropteroate synthase
PEGAMLPK_00035	CDS	1926	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
PEGAMLPK_00036	CDS	456	lptE			LPS-assembly lipoprotein LptE
PEGAMLPK_00037	CDS	1020	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
PEGAMLPK_00038	CDS	1260	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
PEGAMLPK_00039	CDS	1185	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
PEGAMLPK_00040	CDS	396				hypothetical protein
PEGAMLPK_00041	tmRNA	346	ssrA			transfer-messenger RNA, SsrA
PEGAMLPK_00042	CDS	252				hypothetical protein
PEGAMLPK_00043	CDS	288	relE	3.1.-.-	COG2026	mRNA interferase toxin RelE
PEGAMLPK_00044	CDS	423				hypothetical protein
PEGAMLPK_00045	CDS	234				hypothetical protein
PEGAMLPK_00046	CDS	387				hypothetical protein
PEGAMLPK_00047	CDS	249				hypothetical protein
PEGAMLPK_00048	CDS	225				hypothetical protein
PEGAMLPK_00049	CDS	780	djlA		COG1076	Co-chaperone protein DjlA
PEGAMLPK_00050	CDS	1086	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
PEGAMLPK_00051	CDS	462		2.8.1.-	COG0607	Sulfurtransferase
PEGAMLPK_00052	CDS	630	narL		COG2197	Nitrate/nitrite response regulator protein NarL
PEGAMLPK_00053	CDS	1485	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
PEGAMLPK_00054	CDS	1344	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
PEGAMLPK_00055	CDS	1506	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
PEGAMLPK_00056	CDS	924	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
PEGAMLPK_00057	CDS	411		3.1.-.-	COG2402	Ribonuclease VapC26
PEGAMLPK_00058	CDS	240				hypothetical protein
PEGAMLPK_00059	CDS	204				hypothetical protein
PEGAMLPK_00060	CDS	687				hypothetical protein
PEGAMLPK_00061	CDS	753				hypothetical protein
PEGAMLPK_00062	CDS	4500	gltB	1.4.7.1		Ferredoxin-dependent glutamate synthase 1
PEGAMLPK_00063	CDS	171				hypothetical protein
PEGAMLPK_00064	CDS	540	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
PEGAMLPK_00065	CDS	597	yceF		COG0424	Maf-like protein YceF
PEGAMLPK_00066	CDS	969				hypothetical protein
PEGAMLPK_00067	CDS	255				hypothetical protein
PEGAMLPK_00068	tRNA	76				tRNA-Phe(gaa)
PEGAMLPK_00069	CDS	945		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
PEGAMLPK_00070	CDS	183	dnaA		COG0593	Chromosomal replication initiator protein DnaA
PEGAMLPK_00071	CDS	1107	dnaN		COG0592	Beta sliding clamp
PEGAMLPK_00072	CDS	1089	recF		COG1195	DNA replication and repair protein RecF
PEGAMLPK_00073	CDS	2409	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
PEGAMLPK_00074	CDS	885	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
PEGAMLPK_00075	tRNA	86				tRNA-Leu(gag)
PEGAMLPK_00076	CDS	2421				hypothetical protein
PEGAMLPK_00077	CDS	804				hypothetical protein
PEGAMLPK_00078	CDS	1293				hypothetical protein
PEGAMLPK_00079	CDS	600				hypothetical protein
PEGAMLPK_00080	CDS	519				hypothetical protein
PEGAMLPK_00081	CDS	1074	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
PEGAMLPK_00082	CDS	171	rubA		COG1773	Rubredoxin
