locus_tag	ftype	length_bp	gene	EC_number	COG	product
GHCLPNJP_00001	CDS	573	rimP		COG0779	Ribosome maturation factor RimP
GHCLPNJP_00002	CDS	1545	dppA		COG0747	Periplasmic dipeptide transport protein
GHCLPNJP_00003	CDS	1647	gsiA_1	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
GHCLPNJP_00004	CDS	1200	dppC_1		COG1173	Dipeptide transport system permease protein DppC
GHCLPNJP_00005	CDS	990	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
GHCLPNJP_00006	CDS	969	pip	3.4.11.5		Proline iminopeptidase
GHCLPNJP_00007	CDS	747	ubiG_1	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
GHCLPNJP_00008	CDS	444				hypothetical protein
GHCLPNJP_00009	CDS	843	nit1	3.5.1.-		Deaminated glutathione amidase
GHCLPNJP_00010	CDS	258	grxC		COG0695	Glutaredoxin 3
GHCLPNJP_00011	CDS	573				hypothetical protein
GHCLPNJP_00012	CDS	816				hypothetical protein
GHCLPNJP_00013	CDS	1059	hemH	4.99.1.1	COG0276	Ferrochelatase
GHCLPNJP_00014	CDS	186				hypothetical protein
GHCLPNJP_00015	CDS	600	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
GHCLPNJP_00016	CDS	522				hypothetical protein
GHCLPNJP_00017	CDS	495				hypothetical protein
GHCLPNJP_00018	CDS	762				hypothetical protein
GHCLPNJP_00019	CDS	1215	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
GHCLPNJP_00020	CDS	1839		3.6.3.-		Putative multidrug export ATP-binding/permease protein
GHCLPNJP_00021	CDS	1161	cca	2.7.7.72		CCA-adding enzyme
GHCLPNJP_00022	CDS	597	nudL	3.6.1.-		putative Nudix hydrolase NudL
GHCLPNJP_00023	CDS	1011	hslO		COG1281	33 kDa chaperonin
GHCLPNJP_00024	CDS	441	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
GHCLPNJP_00025	CDS	1236	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
GHCLPNJP_00026	CDS	1218	argG	6.3.4.5	COG0137	Argininosuccinate synthase
GHCLPNJP_00027	CDS	711				hypothetical protein
GHCLPNJP_00028	CDS	909	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
