locus_tag	ftype	length_bp	gene	EC_number	COG	product
LOIDMEJA_00001	CDS	570	linC_1	1.14.13.151		Linalool 8-monooxygenase
LOIDMEJA_00002	CDS	789				hypothetical protein
LOIDMEJA_00003	CDS	1725			COG3653	putative protein
LOIDMEJA_00004	CDS	1230	fadA_1	2.3.1.-	COG0183	Putative acyltransferase
LOIDMEJA_00005	CDS	558				hypothetical protein
LOIDMEJA_00006	CDS	702				hypothetical protein
LOIDMEJA_00007	CDS	693				hypothetical protein
LOIDMEJA_00008	CDS	573				hypothetical protein
LOIDMEJA_00009	CDS	1410	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
LOIDMEJA_00010	CDS	198				hypothetical protein
LOIDMEJA_00011	CDS	891			COG5285	putative protein
LOIDMEJA_00012	CDS	2262		1.8.99.-		Dissimilatory sulfite reductase
LOIDMEJA_00013	CDS	282				hypothetical protein
LOIDMEJA_00014	CDS	387				hypothetical protein
LOIDMEJA_00015	CDS	606	nudL_1	3.6.1.-		putative Nudix hydrolase NudL
LOIDMEJA_00016	CDS	1539	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
LOIDMEJA_00017	CDS	1263				hypothetical protein
LOIDMEJA_00018	CDS	807				hypothetical protein
LOIDMEJA_00019	CDS	438				Cytochrome c'
LOIDMEJA_00020	CDS	252	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
LOIDMEJA_00021	CDS	1791	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
LOIDMEJA_00022	CDS	543				Riboflavin biosynthesis protein
LOIDMEJA_00023	CDS	657				hypothetical protein
LOIDMEJA_00024	CDS	486	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
LOIDMEJA_00025	CDS	645	udgb	3.2.2.-	COG1573	Type-5 uracil-DNA glycosylase
LOIDMEJA_00026	CDS	648	gacA			Response regulator GacA
LOIDMEJA_00027	CDS	1173	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
LOIDMEJA_00028	CDS	126				hypothetical protein
LOIDMEJA_00029	CDS	819				hypothetical protein
LOIDMEJA_00030	CDS	315				hypothetical protein
LOIDMEJA_00031	tRNA	88				tRNA-Ser(tga)
LOIDMEJA_00032	CDS	144				hypothetical protein
LOIDMEJA_00033	CDS	390				hypothetical protein
LOIDMEJA_00034	CDS	831				hypothetical protein
LOIDMEJA_00035	CDS	330				hypothetical protein
LOIDMEJA_00036	CDS	183				hypothetical protein
LOIDMEJA_00037	CDS	636				hypothetical protein
LOIDMEJA_00038	CDS	1002	yfmJ_1	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
LOIDMEJA_00039	CDS	765	fabG2_1	1.-.-.-		putative oxidoreductase
LOIDMEJA_00040	CDS	1002	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
LOIDMEJA_00041	CDS	324	trxA		COG0526	Thioredoxin 1
LOIDMEJA_00042	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
LOIDMEJA_00043	CDS	729	ascD	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
LOIDMEJA_00044	CDS	1137	hemY		COG3071	Protein HemY
LOIDMEJA_00045	CDS	1143	hemX		COG2959	Protein HemX
LOIDMEJA_00046	CDS	744	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
LOIDMEJA_00047	CDS	954	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
LOIDMEJA_00048	CDS	513	btsR		COG3279	Transcriptional regulatory protein BtsR
LOIDMEJA_00049	CDS	633	secF		COG0341	Protein translocase subunit SecF
LOIDMEJA_00050	CDS	777	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
LOIDMEJA_00051	CDS	780	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
LOIDMEJA_00052	CDS	477	iscR		COG1959	HTH-type transcriptional regulator IscR
LOIDMEJA_00053	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
LOIDMEJA_00054	CDS	414	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
LOIDMEJA_00055	CDS	324	iscA		COG0316	Iron-binding protein IscA
LOIDMEJA_00056	CDS	522	hscB		COG1076	Co-chaperone protein HscB
LOIDMEJA_00057	CDS	1878	hscA		COG0443	Chaperone protein HscA
LOIDMEJA_00058	CDS	339	fdx		COG0633	2Fe-2S ferredoxin
LOIDMEJA_00059	CDS	195	iscX		COG2975	Protein IscX
LOIDMEJA_00060	CDS	426	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
LOIDMEJA_00061	CDS	1119	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
LOIDMEJA_00062	CDS	753	ycf3_1			Photosystem I assembly protein Ycf3
LOIDMEJA_00063	CDS	1185	rodZ		COG1426	Cytoskeleton protein RodZ
LOIDMEJA_00064	CDS	1272	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
LOIDMEJA_00065	CDS	720				hypothetical protein
LOIDMEJA_00066	CDS	1212	bamB		COG1520	Outer membrane protein assembly factor BamB
LOIDMEJA_00067	CDS	1419	der		COG1160	GTPase Der
LOIDMEJA_00068	CDS	813	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
LOIDMEJA_00069	CDS	1362	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
LOIDMEJA_00070	CDS	1614	guaA_1	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
LOIDMEJA_00071	CDS	456				hypothetical protein
LOIDMEJA_00072	CDS	609	mtrR		COG1309	HTH-type transcriptional regulator MtrR
LOIDMEJA_00073	CDS	2409				hypothetical protein
LOIDMEJA_00074	CDS	378				hypothetical protein
LOIDMEJA_00075	CDS	645	eda		COG0800	KHG/KDPG aldolase
LOIDMEJA_00076	CDS	1800	atsA_1	3.1.6.1	COG3119	Arylsulfatase
LOIDMEJA_00077	CDS	300	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
LOIDMEJA_00078	CDS	1017				hypothetical protein
LOIDMEJA_00079	CDS	693				hypothetical protein
LOIDMEJA_00080	CDS	483		3.1.4.-	COG3437	putative cyclic di-GMP phosphodiesterase
LOIDMEJA_00081	CDS	1971	luxQ_1	2.7.13.3		Autoinducer 2 sensor kinase/phosphatase LuxQ
LOIDMEJA_00082	CDS	564				hypothetical protein
LOIDMEJA_00083	CDS	1434	luxO		COG2204	Regulatory protein LuxO
LOIDMEJA_00084	CDS	1395				hypothetical protein
LOIDMEJA_00085	CDS	114				hypothetical protein
LOIDMEJA_00086	CDS	240				hypothetical protein
LOIDMEJA_00087	CDS	1044	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
LOIDMEJA_00088	CDS	1533		3.1.6.1	COG3119	Arylsulfatase
LOIDMEJA_00089	CDS	735				hypothetical protein
LOIDMEJA_00090	CDS	1794				hypothetical protein
LOIDMEJA_00091	CDS	777	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
LOIDMEJA_00092	CDS	2025	accA1_1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
LOIDMEJA_00093	CDS	1710	accD5	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 5
LOIDMEJA_00094	CDS	594				putative HTH-type transcriptional regulator
LOIDMEJA_00095	CDS	1206		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
LOIDMEJA_00096	CDS	1110	acrC_1	1.3.1.95		Acryloyl-CoA reductase (NADH)
LOIDMEJA_00097	CDS	996			COG2141	putative protein
LOIDMEJA_00098	CDS	543	folE_1	3.5.4.16	COG0302	GTP cyclohydrolase 1
LOIDMEJA_00099	CDS	1086	aroC_1	4.2.3.5	COG0082	Chorismate synthase
LOIDMEJA_00100	CDS	885	cysL_1		COG0583	HTH-type transcriptional regulator CysL
LOIDMEJA_00101	CDS	282				hypothetical protein
LOIDMEJA_00102	CDS	927				hypothetical protein
LOIDMEJA_00103	CDS	669				hypothetical protein
LOIDMEJA_00104	CDS	2289				hypothetical protein
LOIDMEJA_00105	CDS	1491	epsE		COG2804	Type II secretion system protein E
LOIDMEJA_00106	CDS	903	pcpR			PCP degradation transcriptional activation protein
LOIDMEJA_00107	CDS	1017	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
LOIDMEJA_00108	CDS	1398	algC_1	5.4.2.2		Phosphomannomutase/phosphoglucomutase
LOIDMEJA_00109	CDS	945	dcsD	2.6.99.3		O-ureido-L-serine synthase
LOIDMEJA_00110	CDS	930	etfA		COG2025	Electron transfer flavoprotein subunit alpha
LOIDMEJA_00111	CDS	753	etfB			Electron transfer flavoprotein subunit beta
LOIDMEJA_00112	CDS	1665		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
LOIDMEJA_00113	CDS	576				hypothetical protein
LOIDMEJA_00114	CDS	273				hypothetical protein
LOIDMEJA_00115	CDS	249				hypothetical protein
LOIDMEJA_00116	CDS	612	slmA		COG1309	Nucleoid occlusion factor SlmA
LOIDMEJA_00117	CDS	915	argB	2.7.2.8	COG0548	Acetylglutamate kinase
LOIDMEJA_00118	CDS	2481	algC_2	5.4.2.2		Phosphomannomutase/phosphoglucomutase
LOIDMEJA_00119	CDS	456	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
LOIDMEJA_00120	CDS	1317	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
LOIDMEJA_00121	CDS	648				hypothetical protein
LOIDMEJA_00122	CDS	237	rpmB		COG0227	50S ribosomal protein L28
LOIDMEJA_00123	CDS	156	rpmG		COG0267	50S ribosomal protein L33
LOIDMEJA_00124	CDS	813	mutM_1	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
LOIDMEJA_00125	CDS	477	coaD	2.7.7.3		Phosphopantetheine adenylyltransferase
LOIDMEJA_00126	CDS	561	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
LOIDMEJA_00127	CDS	960	ftsY		COG0552	Signal recognition particle receptor FtsY
LOIDMEJA_00128	CDS	666	ftsE		COG2884	Cell division ATP-binding protein FtsE
LOIDMEJA_00129	CDS	960	ftsX		COG2177	Cell division protein FtsX
LOIDMEJA_00130	CDS	822	rpoH		COG0568	RNA polymerase sigma factor RpoH
LOIDMEJA_00131	CDS	381				hypothetical protein
LOIDMEJA_00132	CDS	627	trmB_1	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
LOIDMEJA_00133	CDS	933	hemN	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR
LOIDMEJA_00134	CDS	591	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
LOIDMEJA_00135	CDS	414				hypothetical protein
LOIDMEJA_00136	CDS	594				hypothetical protein
LOIDMEJA_00137	CDS	792	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
LOIDMEJA_00138	CDS	720			COG0325	Pyridoxal phosphate homeostasis protein
LOIDMEJA_00139	CDS	1407	trkH		COG0168	Trk system potassium uptake protein TrkH
LOIDMEJA_00140	CDS	579	tehB	2.1.1.-	COG0500	putative S-adenosyl-L-methionine-dependent methyltransferase TehB
LOIDMEJA_00141	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
LOIDMEJA_00142	CDS	585	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
LOIDMEJA_00143	CDS	924	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
