locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJEGMMEB_00001	tRNA	76				tRNA-Lys(ctt)
FJEGMMEB_00002	CDS	759				hypothetical protein
FJEGMMEB_00003	CDS	447				hypothetical protein
FJEGMMEB_00004	CDS	324				hypothetical protein
FJEGMMEB_00005	CDS	729	ctaE_1	1.9.3.1		Cytochrome c oxidase subunit 3
FJEGMMEB_00006	CDS	627	ctaE_2	1.9.3.1	COG1845	putative cytochrome c oxidase subunit 3
FJEGMMEB_00007	CDS	1776	coxN	1.9.3.1	COG0843	Alternative cytochrome c oxidase subunit 1
FJEGMMEB_00008	CDS	912	coxM_1	1.9.3.1	COG1622	Alternative cytochrome c oxidase subunit 2
FJEGMMEB_00009	CDS	798				hypothetical protein
FJEGMMEB_00010	CDS	132				hypothetical protein
FJEGMMEB_00011	CDS	666	metH_1	2.1.1.13	COG0646	Methionine synthase
FJEGMMEB_00012	CDS	1242	hemE_1	4.1.1.37		Uroporphyrinogen decarboxylase
FJEGMMEB_00013	CDS	711				hypothetical protein
FJEGMMEB_00014	CDS	1881	dmpP	1.14.13.7		Phenol hydroxylase P5 protein
FJEGMMEB_00015	CDS	885	acsE	2.1.1.258	COG1410	5-methyltetrahydrofolate:corrinoid/iron-sulfur protein co-methyltransferase
FJEGMMEB_00016	CDS	1275	hemE_2	4.1.1.37		Uroporphyrinogen decarboxylase
FJEGMMEB_00017	CDS	429				hypothetical protein
FJEGMMEB_00018	CDS	201				hypothetical protein
FJEGMMEB_00019	CDS	1335	thcB_1	1.14.-.-		Cytochrome P450 116
FJEGMMEB_00020	CDS	1131	rutA_1	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
FJEGMMEB_00021	CDS	1188		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
FJEGMMEB_00022	CDS	1152		1.3.99.-		Acyl-CoA dehydrogenase FadE27
FJEGMMEB_00023	CDS	1536	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
FJEGMMEB_00024	CDS	1170	fadI	2.3.1.16		3-ketoacyl-CoA thiolase
FJEGMMEB_00025	CDS	417				hypothetical protein
FJEGMMEB_00026	CDS	687	rutB_1	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
FJEGMMEB_00027	CDS	1245	entS_1			Enterobactin exporter EntS
FJEGMMEB_00028	CDS	426	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
FJEGMMEB_00029	CDS	1233	ttuD	1.1.1.81		Putative hydroxypyruvate reductase
FJEGMMEB_00030	CDS	783				hypothetical protein
FJEGMMEB_00031	CDS	753				hypothetical protein
FJEGMMEB_00032	tRNA	75				tRNA-Gly(gcc)
FJEGMMEB_00033	CDS	489	proX		COG3760	Prolyl-tRNA editing protein ProX
FJEGMMEB_00034	CDS	915	ybbN		COG3118	putative protein YbbN
FJEGMMEB_00035	CDS	660	lon2	3.4.21.53	COG0466	Lon protease 2
FJEGMMEB_00036	CDS	183				hypothetical protein
FJEGMMEB_00037	CDS	1281	ampG		COG0477	Protein AmpG
FJEGMMEB_00038	CDS	1056				hypothetical protein
FJEGMMEB_00039	CDS	1230	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
FJEGMMEB_00040	CDS	993	iolC	2.7.1.92	COG0524	5-dehydro-2-deoxygluconokinase
FJEGMMEB_00041	CDS	747				hypothetical protein
FJEGMMEB_00042	CDS	576				hypothetical protein
FJEGMMEB_00043	CDS	900				hypothetical protein
FJEGMMEB_00044	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
FJEGMMEB_00045	CDS	771	dapB_1	1.17.1.8		4-hydroxy-tetrahydrodipicolinate reductase
FJEGMMEB_00046	CDS	1137	dnaJ_1		COG0484	Chaperone protein DnaJ
FJEGMMEB_00047	CDS	1956	dnaK_1			Chaperone protein DnaK
FJEGMMEB_00048	CDS	873				hypothetical protein
FJEGMMEB_00049	CDS	921				hypothetical protein
FJEGMMEB_00050	CDS	828	grpE		COG0576	Protein GrpE
FJEGMMEB_00051	CDS	1053	hrcA		COG1420	Heat-inducible transcription repressor HrcA
FJEGMMEB_00052	CDS	738	rph	2.7.7.56	COG0689	Ribonuclease PH
FJEGMMEB_00053	CDS	603		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
FJEGMMEB_00054	CDS	1179	hemN_1	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR
FJEGMMEB_00055	CDS	1413	lpoA			Penicillin-binding protein activator LpoA
FJEGMMEB_00056	CDS	996	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
FJEGMMEB_00057	CDS	369				hypothetical protein
FJEGMMEB_00058	CDS	606	osmY_1		COG2823	Osmotically-inducible protein Y
FJEGMMEB_00059	CDS	939	gshB	6.3.2.3	COG0189	Glutathione synthetase
FJEGMMEB_00060	CDS	831				hypothetical protein
FJEGMMEB_00061	CDS	1491	cyaB_1	4.6.1.1	COG2114	Adenylate cyclase 2
FJEGMMEB_00062	CDS	687	ais	5.3.3.7		Aconitate isomerase
FJEGMMEB_00063	CDS	1539	comM		COG0606	Competence protein ComM
FJEGMMEB_00064	CDS	366	fliN_1		COG1886	Flagellar motor switch protein FliN
FJEGMMEB_00065	CDS	366			COG0537	putative HIT-like protein
FJEGMMEB_00066	CDS	336	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
FJEGMMEB_00067	CDS	774	hisF_1	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
FJEGMMEB_00068	CDS	735	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
FJEGMMEB_00069	CDS	651	hisH_1	2.4.2.-	COG0118	Imidazole glycerol phosphate synthase subunit HisH
FJEGMMEB_00070	CDS	381				hypothetical protein
FJEGMMEB_00071	CDS	600	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
FJEGMMEB_00072	CDS	561	hslV	3.4.25.2		ATP-dependent protease subunit HslV
FJEGMMEB_00073	CDS	1314	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
FJEGMMEB_00074	CDS	372	rghR			HTH-type transcriptional repressor RghR
FJEGMMEB_00075	CDS	579	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
FJEGMMEB_00076	CDS	675	lutC		COG1556	Lactate utilization protein C
FJEGMMEB_00077	CDS	1419	lutB		COG1139	Lactate utilization protein B
FJEGMMEB_00078	CDS	783	lutA_1		COG0247	Lactate utilization protein A
FJEGMMEB_00079	CDS	1248	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
FJEGMMEB_00080	CDS	714				hypothetical protein
FJEGMMEB_00081	CDS	513				hypothetical protein
FJEGMMEB_00082	CDS	576	secB		COG1952	Protein-export protein SecB
FJEGMMEB_00083	CDS	681	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
FJEGMMEB_00084	CDS	624	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
FJEGMMEB_00085	CDS	840	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
FJEGMMEB_00086	CDS	606	maf_1		COG0424	Septum formation protein Maf
FJEGMMEB_00087	CDS	831	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
FJEGMMEB_00088	CDS	1032	hemE_3	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
FJEGMMEB_00089	CDS	1035	hemH	4.99.1.1	COG0276	Ferrochelatase
FJEGMMEB_00090	CDS	450				hypothetical protein
FJEGMMEB_00091	CDS	1257	rho	3.6.4.-	COG1158	Transcription termination factor Rho
FJEGMMEB_00092	CDS	975		1.3.1.103		2-haloacrylate reductase
FJEGMMEB_00093	CDS	453	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
FJEGMMEB_00094	CDS	2016				hypothetical protein
FJEGMMEB_00095	CDS	1338	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
