locus_tag	ftype	length_bp	gene	EC_number	COG	product
PFLJALHC_00001	CDS	891				hypothetical protein
PFLJALHC_00002	CDS	1227				hypothetical protein
PFLJALHC_00003	CDS	1146	bshA_1	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
PFLJALHC_00004	CDS	852				hypothetical protein
PFLJALHC_00005	CDS	1113	bshA_2	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
PFLJALHC_00006	CDS	864				hypothetical protein
PFLJALHC_00007	CDS	1269				hypothetical protein
PFLJALHC_00008	CDS	675				hypothetical protein
PFLJALHC_00009	CDS	963	tuaC	2.4.-.-	COG0438	Putative teichuronic acid biosynthesis glycosyltransferase TuaC
PFLJALHC_00010	CDS	1032	epsE_1	2.4.-.-	COG0463	Putative glycosyltransferase EpsE
PFLJALHC_00011	CDS	1218	arnB	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
PFLJALHC_00012	CDS	672	gumD	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
PFLJALHC_00013	CDS	678	rgtE	2.4.1.-	COG0463	Dodecaprenyl-phosphate galacturonate synthase
PFLJALHC_00014	CDS	1308	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
PFLJALHC_00015	CDS	369	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
PFLJALHC_00016	CDS	507	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
PFLJALHC_00017	CDS	642	dgk	2.7.1.113	COG1428	Deoxyguanosine kinase
PFLJALHC_00018	CDS	180				hypothetical protein
PFLJALHC_00019	CDS	435				hypothetical protein
PFLJALHC_00020	CDS	1050	ccrA2	1.3.1.86	COG0604	Crotonyl-CoA reductase
PFLJALHC_00021	CDS	357				Ferredoxin, 2Fe-2S
PFLJALHC_00022	CDS	582				hypothetical protein
PFLJALHC_00023	CDS	711	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
PFLJALHC_00024	CDS	345		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
PFLJALHC_00025	CDS	3522	smc_1		COG1196	Chromosome partition protein Smc
PFLJALHC_00026	CDS	2721	polA	2.7.7.7	COG0258	DNA polymerase I
PFLJALHC_00027	CDS	927	natA_1		COG4555	ABC transporter ATP-binding protein NatA
PFLJALHC_00028	CDS	750				hypothetical protein
PFLJALHC_00029	CDS	513				hypothetical protein
PFLJALHC_00030	CDS	1113	alr1	5.1.1.1	COG0787	Alanine racemase 1
PFLJALHC_00031	CDS	318				hypothetical protein
PFLJALHC_00032	CDS	1539	sdcS_1		COG0471	Sodium-dependent dicarboxylate transporter SdcS
PFLJALHC_00033	CDS	1437	sglT_1			Sodium/glucose cotransporter
PFLJALHC_00034	CDS	1302				hypothetical protein
PFLJALHC_00035	CDS	1566				hypothetical protein
PFLJALHC_00036	CDS	1275				hypothetical protein
PFLJALHC_00037	CDS	396		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
PFLJALHC_00038	CDS	1944	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
PFLJALHC_00039	CDS	1449	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
PFLJALHC_00040	CDS	1767				hypothetical protein
PFLJALHC_00041	CDS	1098				hypothetical protein
PFLJALHC_00042	CDS	429				hypothetical protein
PFLJALHC_00043	CDS	1434	opuE_1		COG0591	Osmoregulated proline transporter OpuE
PFLJALHC_00044	CDS	597				hypothetical protein
PFLJALHC_00045	CDS	801	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
PFLJALHC_00046	CDS	576	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
PFLJALHC_00047	CDS	606	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
PFLJALHC_00048	CDS	918			COG1752	putative NTE family protein
PFLJALHC_00049	CDS	1893	dsbD_1	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
PFLJALHC_00050	CDS	585	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
PFLJALHC_00051	CDS	2946	pepN_1	3.4.11.2		Aminopeptidase N
PFLJALHC_00052	CDS	3588				hypothetical protein
PFLJALHC_00053	CDS	1398	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
PFLJALHC_00054	CDS	3303	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
PFLJALHC_00055	CDS	393	yocK		COG1734	General stress protein 16O
PFLJALHC_00056	CDS	480	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
PFLJALHC_00057	CDS	942	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
PFLJALHC_00058	CDS	912	xerD_1		COG4974	Tyrosine recombinase XerD
PFLJALHC_00059	CDS	1617	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
PFLJALHC_00060	CDS	288	hpf		COG1544	Ribosome hibernation promoting factor
PFLJALHC_00061	CDS	912	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
PFLJALHC_00062	CDS	1425				hypothetical protein
PFLJALHC_00063	CDS	555				hypothetical protein
PFLJALHC_00064	CDS	180				hypothetical protein
PFLJALHC_00065	CDS	2052				hypothetical protein
PFLJALHC_00066	CDS	255				hypothetical protein
PFLJALHC_00067	CDS	324	yciH		COG0023	putative protein YciH
PFLJALHC_00068	CDS	900				hypothetical protein
PFLJALHC_00069	CDS	501	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
PFLJALHC_00070	CDS	441				hypothetical protein
PFLJALHC_00071	tRNA	74				tRNA-Gly(gcc)
PFLJALHC_00072	CDS	2586	endo I_1	3.2.1.14		Chitodextrinase
PFLJALHC_00073	CDS	1848	endo I_2	3.2.1.14		Chitodextrinase
PFLJALHC_00074	CDS	804				hypothetical protein
PFLJALHC_00075	CDS	660				hypothetical protein
PFLJALHC_00076	CDS	351				hypothetical protein
PFLJALHC_00077	CDS	1923	oppA		COG4166	Oligopeptide-binding protein OppA
PFLJALHC_00078	CDS	1254	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
PFLJALHC_00079	CDS	1083	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
PFLJALHC_00080	CDS	1479	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
PFLJALHC_00081	CDS	1014	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
PFLJALHC_00082	CDS	1692				hypothetical protein
PFLJALHC_00083	CDS	240				hypothetical protein
PFLJALHC_00084	CDS	246				hypothetical protein
PFLJALHC_00085	CDS	288				hypothetical protein
PFLJALHC_00086	CDS	441				hypothetical protein
PFLJALHC_00087	CDS	240				hypothetical protein
PFLJALHC_00088	CDS	1479				hypothetical protein
PFLJALHC_00089	CDS	729				hypothetical protein
PFLJALHC_00090	CDS	561				hypothetical protein
PFLJALHC_00091	CDS	4845	cbhB	3.2.1.91		Exoglucanase B
PFLJALHC_00092	CDS	3291				hypothetical protein
PFLJALHC_00093	CDS	519				hypothetical protein
PFLJALHC_00094	CDS	984	glkA	2.7.1.2		Glucokinase
PFLJALHC_00095	tRNA	75				tRNA-Met(cat)
PFLJALHC_00096	CDS	1338	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
PFLJALHC_00097	CDS	2970				hypothetical protein
PFLJALHC_00098	CDS	699				hypothetical protein
