locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJCMKPOE_00001	CDS	3354	cckA_1			Sensor kinase CckA
FJCMKPOE_00002	CDS	1623		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
FJCMKPOE_00003	CDS	963	ephA_1	3.3.2.10		Epoxide hydrolase A
FJCMKPOE_00004	CDS	558				hypothetical protein
FJCMKPOE_00005	CDS	744	ydfG_1	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
FJCMKPOE_00006	CDS	546				hypothetical protein
FJCMKPOE_00007	CDS	594				hypothetical protein
FJCMKPOE_00008	CDS	234	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
FJCMKPOE_00009	CDS	978	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
FJCMKPOE_00010	CDS	981	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
FJCMKPOE_00011	CDS	1644	gsiB_1		COG0747	Glutathione-binding protein GsiB
FJCMKPOE_00012	CDS	768				hypothetical protein
FJCMKPOE_00013	CDS	972	argK	3.6.5.-	COG1703	GTPase ArgK
FJCMKPOE_00014	CDS	408		5.4.99.-		Pivalyl-CoA mutase small subunit
FJCMKPOE_00015	CDS	399				hypothetical protein
FJCMKPOE_00016	CDS	762	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
FJCMKPOE_00017	CDS	792	fcbB2_1	3.8.1.7		4-chlorobenzoyl coenzyme A dehalogenase-2
FJCMKPOE_00018	CDS	885	linB	3.8.1.5		Haloalkane dehalogenase
FJCMKPOE_00019	CDS	369				hypothetical protein
FJCMKPOE_00020	CDS	969	gpuA	3.5.3.17	COG0010	Guanidinopropionase
FJCMKPOE_00021	CDS	846				hypothetical protein
FJCMKPOE_00022	CDS	579	eda		COG0800	KHG/KDPG aldolase
FJCMKPOE_00023	CDS	936	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
FJCMKPOE_00024	CDS	729	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
FJCMKPOE_00025	CDS	798	cpdA_1	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
FJCMKPOE_00026	CDS	2325	pleC_1	2.7.13.3		Non-motile and phage-resistance protein
FJCMKPOE_00027	CDS	471				hypothetical protein
FJCMKPOE_00028	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
FJCMKPOE_00029	CDS	543	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
FJCMKPOE_00030	CDS	750			COG0217	putative transcriptional regulatory protein
FJCMKPOE_00031	CDS	225				hypothetical protein
FJCMKPOE_00032	CDS	828	ymdB_1	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
FJCMKPOE_00033	CDS	579		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
FJCMKPOE_00034	CDS	336				hypothetical protein
FJCMKPOE_00035	CDS	297				hypothetical protein
FJCMKPOE_00036	CDS	2034	tktA	2.2.1.1	COG0021	Transketolase 1
FJCMKPOE_00037	CDS	1005	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
FJCMKPOE_00038	CDS	228				hypothetical protein
FJCMKPOE_00039	CDS	612	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
FJCMKPOE_00040	CDS	798	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
FJCMKPOE_00041	CDS	1068	luxA_1	1.14.14.3	COG2141	Alkanal monooxygenase alpha chain
FJCMKPOE_00042	CDS	846	ped_1	1.1.1.311		(S)-1-Phenylethanol dehydrogenase
FJCMKPOE_00043	CDS	921	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
FJCMKPOE_00044	CDS	414				hypothetical protein
FJCMKPOE_00045	CDS	1611	nirS_1	1.7.2.1	COG2010	Nitrite reductase
FJCMKPOE_00046	CDS	1791	nirT		COG3005	Denitrification system component NirT
FJCMKPOE_00047	CDS	1125		1.13.12.-	COG2070	Putative monooxygenase
FJCMKPOE_00048	CDS	636				hypothetical protein
FJCMKPOE_00049	CDS	558				hypothetical protein
FJCMKPOE_00050	CDS	1086			COG0500	putative protein RP789
FJCMKPOE_00051	CDS	624				hypothetical protein
FJCMKPOE_00052	CDS	462				hypothetical protein
FJCMKPOE_00053	CDS	453				hypothetical protein
FJCMKPOE_00054	CDS	801	iolN	3.7.1.-	COG1402	3-dehydro-scyllo-inosose hydrolase
FJCMKPOE_00055	CDS	747				hypothetical protein
FJCMKPOE_00056	CDS	534				hypothetical protein
FJCMKPOE_00057	CDS	1248	bbsG_1	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
FJCMKPOE_00058	CDS	933	motB		COG1360	Motility protein B
FJCMKPOE_00059	CDS	831	motA		COG1291	Motility protein A
FJCMKPOE_00060	CDS	489	hsaB	1.5.1.36	COG1853	Flavin-dependent monooxygenase, reductase subunit HsaB
FJCMKPOE_00061	CDS	1227	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
FJCMKPOE_00062	CDS	438				hypothetical protein
FJCMKPOE_00063	CDS	933	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
FJCMKPOE_00064	CDS	1023				hypothetical protein
FJCMKPOE_00065	CDS	744	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
FJCMKPOE_00066	CDS	696	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
FJCMKPOE_00067	CDS	630	yxdL		COG1136	ABC transporter ATP-binding protein YxdL
FJCMKPOE_00068	CDS	816	gno	1.1.1.-		Gluconate 5-dehydrogenase
FJCMKPOE_00069	CDS	1725		4.2.1.162		6-deoxy-6-sulfo-D-gluconate dehydratase
FJCMKPOE_00070	CDS	1167	hsaA_1	1.14.14.12		Flavin-dependent monooxygenase, oxygenase subunit HsaA
FJCMKPOE_00071	CDS	921	ribN_1			Riboflavin transporter
FJCMKPOE_00072	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
FJCMKPOE_00073	CDS	267	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
FJCMKPOE_00074	CDS	261				hypothetical protein
FJCMKPOE_00075	CDS	906	fadH_1	1.3.1.34	COG1028	putative 2,4-dienoyl-CoA reductase
FJCMKPOE_00076	CDS	678				hypothetical protein
FJCMKPOE_00077	CDS	1893	cyaA_1	4.6.1.1	COG2114	Adenylate cyclase 1
FJCMKPOE_00078	CDS	714	caiD_1	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
FJCMKPOE_00079	CDS	918	tauD_1	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
FJCMKPOE_00080	CDS	648	yibF_1		COG0625	putative GST-like protein YibF
FJCMKPOE_00081	CDS	273				hypothetical protein
FJCMKPOE_00082	CDS	525				hypothetical protein
FJCMKPOE_00083	CDS	1005				hypothetical protein
FJCMKPOE_00084	CDS	453				hypothetical protein
FJCMKPOE_00085	CDS	705	hdl IVa_1	3.8.1.2		(S)-2-haloacid dehalogenase 4A
FJCMKPOE_00086	CDS	1563	emrB_1			Multidrug export protein EmrB
FJCMKPOE_00087	CDS	1776	cyaA_2	4.6.1.1	COG2114	Adenylate cyclase 1
FJCMKPOE_00088	CDS	969		1.5.1.49	COG2423	Delta(1)-pyrroline-2-carboxylate reductase
FJCMKPOE_00089	CDS	1080	namA_1	1.6.99.1	COG1902	NADPH dehydrogenase
FJCMKPOE_00090	CDS	369	cyaB_1	4.6.1.1	COG2114	Adenylate cyclase 2
FJCMKPOE_00091	CDS	1209	smtB_1	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
FJCMKPOE_00092	CDS	2118	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
FJCMKPOE_00093	CDS	270	rpsO		COG0184	30S ribosomal protein S15
FJCMKPOE_00094	CDS	897	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
FJCMKPOE_00095	CDS	447	rbfA			Ribosome-binding factor A
FJCMKPOE_00096	CDS	2706	infB		COG0532	Translation initiation factor IF-2
FJCMKPOE_00097	CDS	654				hypothetical protein
FJCMKPOE_00098	CDS	1602	nusA		COG0195	Transcription termination/antitermination protein NusA
FJCMKPOE_00099	CDS	525	rimP		COG0779	Ribosome maturation factor RimP
FJCMKPOE_00100	CDS	633	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
FJCMKPOE_00101	CDS	1164	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
FJCMKPOE_00102	CDS	423				hypothetical protein
FJCMKPOE_00103	CDS	1638	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
FJCMKPOE_00104	CDS	990	tlyC		COG1253	Hemolysin C
FJCMKPOE_00105	CDS	525	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
FJCMKPOE_00106	CDS	2478	pgpH	3.1.4.-		Cyclic-di-AMP phosphodiesterase PgpH
FJCMKPOE_00107	CDS	1068			COG1702	PhoH-like protein
FJCMKPOE_00108	CDS	1446	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
FJCMKPOE_00109	CDS	447	fur		COG0735	Ferric uptake regulation protein
FJCMKPOE_00110	CDS	423	ros		COG4957	Transcriptional regulatory protein ros
FJCMKPOE_00111	CDS	252				hypothetical protein
FJCMKPOE_00112	CDS	480	rimI	2.3.1.255	COG0456	N-alpha-acetyltransferase RimI
FJCMKPOE_00113	CDS	732	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
FJCMKPOE_00114	CDS	594	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
FJCMKPOE_00115	CDS	1104	icaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
FJCMKPOE_00116	CDS	1059				hypothetical protein
FJCMKPOE_00117	CDS	594	nfuA_1		COG0316	Fe/S biogenesis protein NfuA
FJCMKPOE_00118	CDS	1071	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
FJCMKPOE_00119	CDS	783	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
FJCMKPOE_00120	CDS	1257	exuT_1			Hexuronate transporter
FJCMKPOE_00121	tRNA	76				tRNA-Thr(cgt)
FJCMKPOE_00122	CDS	945		1.1.1.215	COG1052	2-ketogluconate reductase
FJCMKPOE_00123	CDS	645				hypothetical protein
FJCMKPOE_00124	CDS	942		1.1.1.81	COG0111	Hydroxypyruvate reductase
FJCMKPOE_00125	CDS	1536	budB	2.2.1.6	COG0028	Acetolactate synthase, catabolic
FJCMKPOE_00126	CDS	1014	pht4	1.-.-.-		Putative 4,5-dihydroxyphthalate dehydrogenase
FJCMKPOE_00127	CDS	714	legF	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
FJCMKPOE_00128	CDS	954	amiF	3.5.1.49	COG0388	Formamidase
FJCMKPOE_00129	CDS	1329	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
FJCMKPOE_00130	CDS	1416	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
FJCMKPOE_00131	CDS	336				hypothetical protein
FJCMKPOE_00132	CDS	1146	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
FJCMKPOE_00133	CDS	264				hypothetical protein
FJCMKPOE_00134	CDS	807	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
FJCMKPOE_00135	CDS	1593	bclA_1	6.2.1.25		Benzoate--CoA ligase
FJCMKPOE_00136	CDS	801	sauT_1	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
FJCMKPOE_00137	CDS	159				hypothetical protein
FJCMKPOE_00138	CDS	510				hypothetical protein
FJCMKPOE_00139	CDS	978		1.3.1.103		2-haloacrylate reductase
FJCMKPOE_00140	CDS	669	yibF_2		COG0625	putative GST-like protein YibF
FJCMKPOE_00141	CDS	1155	queG_1	1.17.99.6	COG1600	Epoxyqueuosine reductase
FJCMKPOE_00142	CDS	735	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
FJCMKPOE_00143	CDS	837	yeeZ		COG0451	Protein YeeZ
FJCMKPOE_00144	CDS	579				hypothetical protein
FJCMKPOE_00145	CDS	1866		3.6.3.-		Putative multidrug export ATP-binding/permease protein
FJCMKPOE_00146	CDS	2190	cckA_2			Sensor kinase CckA
