locus_tag	ftype	length_bp	gene	EC_number	COG	product
AOLIJJLK_00001	CDS	288				hypothetical protein
AOLIJJLK_00002	CDS	189				hypothetical protein
AOLIJJLK_00003	CDS	1425	aldA	1.2.1.3		Putative aldehyde dehydrogenase AldA
AOLIJJLK_00004	CDS	1188	yeaW_1	1.14.13.-	COG4638	Carnitine monooxygenase oxygenase subunit
AOLIJJLK_00005	CDS	1344	dmg	1.5.3.10		Dimethylglycine oxidase
AOLIJJLK_00006	CDS	537	yaeQ		COG4681	putative protein YaeQ
AOLIJJLK_00007	CDS	3057	metH_1	2.1.1.13	COG0646	Methionine synthase
AOLIJJLK_00008	CDS	219				hypothetical protein
AOLIJJLK_00009	CDS	2367	fyuA_1		COG1629	Pesticin receptor
AOLIJJLK_00010	CDS	1779	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
AOLIJJLK_00011	CDS	435				hypothetical protein
AOLIJJLK_00012	CDS	1836	pnbA_1	3.1.1.-	COG2272	Para-nitrobenzyl esterase
AOLIJJLK_00013	CDS	1734		3.6.3.-		Putative multidrug export ATP-binding/permease protein
AOLIJJLK_00014	CDS	558				hypothetical protein
AOLIJJLK_00015	CDS	1116		1.14.11.1		Gamma-butyrobetaine dioxygenase
AOLIJJLK_00016	CDS	1425				hypothetical protein
AOLIJJLK_00017	CDS	354		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
AOLIJJLK_00018	CDS	795	phhA	1.14.16.1	COG3186	Phenylalanine-4-hydroxylase
AOLIJJLK_00019	CDS	462	lrp_1		COG1522	Leucine-responsive regulatory protein
AOLIJJLK_00020	CDS	981				hypothetical protein
AOLIJJLK_00021	CDS	2664	pepN_1	3.4.11.2		Aminopeptidase N
AOLIJJLK_00022	CDS	936	dauP	3.1.1.-		Rhodomycin D methylesterase DauP
AOLIJJLK_00023	CDS	864	hchA	4.2.1.130		Molecular chaperone Hsp31 and glyoxalase 3
AOLIJJLK_00024	CDS	1962				hypothetical protein
AOLIJJLK_00025	CDS	1167				hypothetical protein
AOLIJJLK_00026	CDS	945				hypothetical protein
AOLIJJLK_00027	CDS	1077	dhmA	3.8.1.5	COG0596	Haloalkane dehalogenase
AOLIJJLK_00028	CDS	1215	nylB_1	3.5.1.46		6-aminohexanoate-dimer hydrolase
